LAMMPS (4 Feb 2025 - Development - patch_4Feb2025-554-g465171d58f)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
=== HEATING PHASE ===
Rate = 1 K/ps
Duration = 2006 ps = 20060000 steps
Reading restart file ...
  restart file = 4 Feb 2025, LAMMPS = 4 Feb 2025
  restoring atom style charge from restart
  orthogonal box = (-6.9917407 -6.9917407 -3.4958703) to (56.991741 56.991741 28.49587)
  2 by 2 by 2 MPI processor grid
  pair style reaxff stores no restart info
  420 atoms
  read_restart CPU = 0.003 seconds
Reading potential file ffield.reax.cho with DATE: 2011-02-18
=== STARTING HEATING ===

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

WARNING: No fixes with time integration, atoms won't move
For more information see https://docs.lammps.org/err0028 (src/verlet.cpp:60)
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 11 11 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reax, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 20001
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 11.15 | 11.82 | 12.61 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
    136000   311.18833     -40694.964      388.66159     -40306.302      79.774701      130970.54    
    137000   311.18833     -40694.967      388.66159     -40306.305      79.816073      130970.54    
    138000   311.18833     -40694.967      388.66159     -40306.306      79.800931      130970.54    
    139000   311.18833     -40694.966      388.66159     -40306.304      79.843442      130970.54    
    140000   311.18833     -40694.968      388.66159     -40306.306      79.804694      130970.54    
    141000   311.18833     -40694.966      388.66159     -40306.305      79.800393      130970.54    
    142000   311.18833     -40694.966      388.66159     -40306.304      79.914833      130970.54    
    143000   311.18833     -40694.964      388.66159     -40306.302      79.873586      130970.54    
    144000   311.18833     -40694.966      388.66159     -40306.305      79.834914      130970.54    
    145000   311.18833     -40694.965      388.66159     -40306.303      79.856778      130970.54    
    146000   311.18833     -40694.966      388.66159     -40306.305      79.858167      130970.54    
    147000   311.18833     -40694.962      388.66159     -40306.301      79.788005      130970.54    
    148000   311.18833     -40694.969      388.66159     -40306.307      79.798258      130970.54    
    149000   311.18833     -40694.965      388.66159     -40306.304      79.779385      130970.54    
    150000   311.18833     -40694.967      388.66159     -40306.305      79.853995      130970.54    
    151000   311.18833     -40694.964      388.66159     -40306.303      79.859419      130970.54    
    152000   311.18833     -40694.966      388.66159     -40306.305      79.84227       130970.54    
    153000   311.18833     -40694.966      388.66159     -40306.305      79.856273      130970.54    
    154000   311.18833     -40694.968      388.66159     -40306.306      79.815501      130970.54    
    155000   311.18833     -40694.967      388.66159     -40306.306      79.812172      130970.54    
    156000   311.18833     -40694.966      388.66159     -40306.304      79.875753      130970.54    
    157000   311.18833     -40694.965      388.66159     -40306.304      79.835826      130970.54    
    158000   311.18833     -40694.967      388.66159     -40306.306      79.875459      130970.54    
    159000   311.18833     -40694.968      388.66159     -40306.307      79.763511      130970.54    
    160000   311.18833     -40694.968      388.66159     -40306.307      79.828974      130970.54    
    161000   311.18833     -40694.966      388.66159     -40306.304      79.847001      130970.54    
    162000   311.18833     -40694.966      388.66159     -40306.305      79.884345      130970.54    
    163000   311.18833     -40694.966      388.66159     -40306.305      79.889224      130970.54    
    164000   311.18833     -40694.965      388.66159     -40306.304      79.868895      130970.54    
    165000   311.18833     -40694.966      388.66159     -40306.305      79.840006      130970.54    
    166000   311.18833     -40694.966      388.66159     -40306.304      79.843508      130970.54    
    167000   311.18833     -40694.969      388.66159     -40306.308      79.843829      130970.54    
    168000   311.18833     -40694.962      388.66159     -40306.3        79.897333      130970.54    
    169000   311.18833     -40694.969      388.66159     -40306.308      79.797533      130970.54    
    170000   311.18833     -40694.967      388.66159     -40306.305      79.86549       130970.54    
    171000   311.18833     -40694.963      388.66159     -40306.302      79.877592      130970.54    
    172000   311.18833     -40694.967      388.66159     -40306.305      79.861938      130970.54    
    173000   311.18833     -40694.967      388.66159     -40306.305      79.756143      130970.54    
    174000   311.18833     -40694.967      388.66159     -40306.306      79.850683      130970.54    
    175000   311.18833     -40694.968      388.66159     -40306.306      79.829795      130970.54    
    176000   311.18833     -40694.968      388.66159     -40306.307      79.863139      130970.54    
    177000   311.18833     -40694.966      388.66159     -40306.305      79.867326      130970.54    
    178000   311.18833     -40694.969      388.66159     -40306.308      79.812316      130970.54    
    179000   311.18833     -40694.966      388.66159     -40306.304      79.864911      130970.54    
    180000   311.18833     -40694.966      388.66159     -40306.305      79.795314      130970.54    
    181000   311.18833     -40694.966      388.66159     -40306.304      79.848784      130970.54    
    182000   311.18833     -40694.967      388.66159     -40306.305      79.82306       130970.54    
    183000   311.18833     -40694.965      388.66159     -40306.303      79.857245      130970.54    
    184000   311.18833     -40694.969      388.66159     -40306.308      79.838498      130970.54    
    185000   311.18833     -40694.969      388.66159     -40306.308      79.813896      130970.54    
    186000   311.18833     -40694.969      388.66159     -40306.307      79.844841      130970.54    
    187000   311.18833     -40694.966      388.66159     -40306.305      79.886457      130970.54    
    188000   311.18833     -40694.965      388.66159     -40306.303      79.842306      130970.54    
    189000   311.18833     -40694.968      388.66159     -40306.307      79.796466      130970.54    
    190000   311.18833     -40694.97       388.66159     -40306.308      79.760579      130970.54    
    191000   311.18833     -40694.967      388.66159     -40306.306      79.841463      130970.54    
    192000   311.18833     -40694.965      388.66159     -40306.303      79.766215      130970.54    
    193000   311.18833     -40694.967      388.66159     -40306.306      79.792652      130970.54    
    194000   311.18833     -40694.961      388.66159     -40306.299      79.853969      130970.54    
    195000   311.18833     -40694.97       388.66159     -40306.308      79.785547      130970.54    
    196000   311.18833     -40694.964      388.66159     -40306.302      79.85649       130970.54    
    197000   311.18833     -40694.965      388.66159     -40306.304      79.840798      130970.54    
    198000   311.18833     -40694.968      388.66159     -40306.306      79.809217      130970.54    
    199000   311.18833     -40694.967      388.66159     -40306.306      79.797353      130970.54    
    200000   311.18833     -40694.961      388.66159     -40306.299      79.801058      130970.54    
    201000   311.18833     -40694.965      388.66159     -40306.304      79.885659      130970.54    
    202000   311.18833     -40694.963      388.66159     -40306.301      79.912801      130970.54    
    203000   311.18833     -40694.964      388.66159     -40306.303      79.885204      130970.54    
    204000   311.18833     -40694.965      388.66159     -40306.303      79.849914      130970.54    
    205000   311.18833     -40694.965      388.66159     -40306.303      79.931305      130970.54    
    206000   311.18833     -40694.968      388.66159     -40306.307      79.81758       130970.54    
    207000   311.18833     -40694.966      388.66159     -40306.305      79.889648      130970.54    
    208000   311.18833     -40694.967      388.66159     -40306.306      79.836373      130970.54    
    209000   311.18833     -40694.966      388.66159     -40306.305      79.885743      130970.54    
    210000   311.18833     -40694.966      388.66159     -40306.305      79.870489      130970.54    
    211000   311.18833     -40694.967      388.66159     -40306.305      79.793984      130970.54    
    212000   311.18833     -40694.968      388.66159     -40306.307      79.818297      130970.54    
    213000   311.18833     -40694.964      388.66159     -40306.302      79.902008      130970.54    
    214000   311.18833     -40694.965      388.66159     -40306.303      79.810644      130970.54    
    215000   311.18833     -40694.969      388.66159     -40306.307      79.855975      130970.54    
    216000   311.18833     -40694.969      388.66159     -40306.307      79.832686      130970.54    
    217000   311.18833     -40694.959      388.66159     -40306.298      79.94383       130970.54    
    218000   311.18833     -40694.964      388.66159     -40306.302      79.903124      130970.54    
    219000   311.18833     -40694.97       388.66159     -40306.308      79.756022      130970.54    
    220000   311.18833     -40694.967      388.66159     -40306.305      79.860544      130970.54    
    221000   311.18833     -40694.969      388.66159     -40306.307      79.847382      130970.54    
    222000   311.18833     -40694.967      388.66159     -40306.305      79.784489      130970.54    
