ITEM: TIMESTEP
26000
ITEM: NUMBER OF ATOMS
2835
ITEM: BOX BOUNDS pp pp pp
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
ITEM: ATOMS id type x y z q
137 1 27.8786 22.7955 17.1082 0.111691
139 1 29.3091 23.7339 16.9778 0.0884891
143 1 33.0063 23.5892 12.3097 0.0799108
252 2 52.5281 17.9964 16.3337 -0.170684
253 1 51.4564 17.8667 16.2268 0.140186
246 1 52.5498 20.7547 16.8737 0.097018
254 1 53.1023 17.6338 15.5202 0.106262
313 3 67.0858 23.7893 12.0514 -0.0926669
303 3 76.9456 19.5667 15.7761 -0.102979
517 3 25.6725 28.016 16.0799 -0.127732
516 3 26.3566 27.0625 16.6061 -0.110183
142 1 32.8369 24.9027 13.1968 0.101041
205 3 33.3462 26.5928 11.1487 -0.106221
206 3 33.9884 25.6813 11.7175 -0.13065
140 2 32.8813 24.5657 12.1566 -0.0984588
141 1 31.8829 24.8099 11.6945 0.114161
477 1 31.0626 30.4159 15.409 0.0783267
611 3 47.7246 26.2537 14.834 -0.307102
583 1 47.043 25.5383 14.8591 0.327199
612 3 48.9953 25.7845 15.5235 -0.147858
621 3 65.5799 29.8304 16.1646 -0.101538
312 3 67.8974 24.7066 11.7304 -0.0798923
622 3 66.3943 30.4194 16.9284 -0.105139
630 3 -2.5502 32.0432 17.0001 -0.123991
629 3 -2.44769 31.679 15.7918 -0.100951
366 1 -2.4568 35.4211 16.266 0.149889
370 1 10.5161 34.7515 15.5752 0.111136
367 2 11.4888 34.7878 16.1163 -0.221926
368 1 11.7433 35.8754 16.1714 0.107204
369 1 12.2317 34.2839 15.5057 0.0957181
506 3 21.1231 36.6445 16.4581 -0.14902
331 1 24.807 30.6319 16.0102 0.180471
330 1 24.4635 32.4995 16.0097 0.129819
329 2 24.9882 31.6137 16.4327 -0.321357
419 3 28.0839 36.6921 16.5393 -0.132426
420 3 27.6304 35.5307 16.764 -0.164569
